Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity,F1-score,MCC
relu,"(50,10)",0.001,0.9138128349992757,0.9751490074380572,0.5418894830659536,0.9510386192066517,0.6074739973186671
relu,"(50,10)",0.0001,0.912139649427785,0.9850894044628343,0.47040998217468805,0.9506280991863207,0.5883767602183261
relu,"(50,10)",1e-05,0.9010357815442561,0.9741539825624353,0.45811051693404636,0.9440983648009268,0.5381321096340415
relu,"(100,20)",0.01,0.9044256120527308,0.9681838333087041,0.5180035650623886,0.9455714058736496,0.5737497221539896
relu,"(100,20)",0.001,0.9112849485730842,0.9731885128811388,0.535650623885918,0.9495332824742815,0.5982911126406599
relu,"(100,20)",0.0001,0.9078516586991163,0.9741392049652726,0.5065953654188948,0.9477246181655754,0.5800578350732116
relu,"(100,20)",1e-05,0.8976097348978705,0.9681887591744249,0.4698752228163993,0.9419541090862303,0.5251998365102599
relu,"(150,30)",0.01,0.9044545849630595,0.9602088567065662,0.5677361853832442,0.9451037300605787,0.5864500855543139
relu,"(150,30)",0.001,0.90275242648124,0.9781242303334811,0.446524064171123,0.9453007381895209,0.5425869521462713
relu,"(150,30)",0.0001,0.9112921918006663,0.9701689571942269,0.5552584670231729,0.9494059133236498,0.602454439257094
relu,"(150,30)",1e-05,0.911277705345502,0.979114329343382,0.5007130124777184,0.9498606837791754,0.5897750861187208
relu,"(200,40)",0.01,0.910423004490801,0.9850844785971135,0.45828877005347596,0.949694706434327,0.5782976202641902
relu,"(200,40)",0.001,0.9146747790815587,0.9661987094231811,0.6024955436720143,0.9510757024577651,0.6241353024270021
relu,"(200,40)",0.0001,0.9172388816456613,0.9761440323136791,0.5602495543672015,0.9529344205643251,0.6250995630968648
relu,"(200,40)",1e-05,0.9172316384180791,0.979119255209103,0.5422459893048128,0.953066321731146,0.621825971663992
relu,"(250,50)",0.01,0.9062074460379544,0.9781094527363184,0.47219251336898393,0.9472630584161968,0.5539935664163496
relu,"(250,50)",0.001,0.9095972765464291,0.9781193044677602,0.49536541889483066,0.9489905513852207,0.5779138852074426
relu,"(250,50)",0.0001,0.9129581341445748,0.9642037338062165,0.6024955436720143,0.9500140723176453,0.6194433661590818
relu,"(250,50)",1e-05,0.915543966391424,0.9791241810748239,0.5304812834224599,0.9521706800075859,0.6112152456681353
relu,"(300,60)",0.01,0.9104374909459655,0.9771242795921383,0.5071301247771836,0.9493222892835896,0.5891549683537842
relu,"(300,60)",0.001,0.9197884977545995,0.9851041820599971,0.5233511586452763,0.9547575157503313,0.629538342704877
relu,"(300,60)",0.0001,0.9146747790815588,0.9741589084281562,0.5540106951871657,0.95145402397503,0.6131199281980602
relu,"(300,60)",1e-05,0.914682022309141,0.9830993547115906,0.5001782531194295,0.9518775791556062,0.6037428650023533
relu,"(25,8)",0.01,0.920635955381718,0.9751490074380572,0.5900178253119429,0.9547500436370145,0.6432227384838786
relu,"(25,8)",0.001,0.896769520498334,0.9781242303334812,0.4040998217468806,0.9422740141231988,0.45791977635499986
relu,"(25,8)",0.0001,0.8583659278574532,1.0,0.0,0.9237852306723351,0.0
relu,"(25,8)",1e-05,0.8583659278574532,1.0,0.0,0.9237852306723351,0.0
relu,"(50,15)",0.01,0.9163914240185427,0.9801290576818875,0.5299465240641711,0.9526741986796723,0.6148381537817211
relu,"(50,15)",0.001,0.910423004490801,0.9691788581843259,0.5547237076648841,0.9487714317623916,0.606298811522954
relu,"(50,15)",0.0001,0.913001593510068,0.9741539825624353,0.5429590017825312,0.9505796341785031,0.6019510013586546
relu,"(50,15)",1e-05,0.9078516586991163,0.9731540318210925,0.5122994652406417,0.9476925853895893,0.5786008615735706
relu,"(100,30)",0.01,0.9053527451832537,0.972139303482587,0.5024955436720143,0.9465093032284408,0.5565131741127479
relu,"(100,30)",0.001,0.918057366362451,0.9661937835574602,0.6260249554367201,0.9528930373204098,0.6446360601235436
relu,"(100,30)",0.0001,0.9172316384180791,0.9731540318210926,0.5784313725490197,0.9527884963333662,0.6295419729900945
relu,"(100,30)",1e-05,0.9112632188903376,0.9751391557066155,0.5244206773618538,0.9496245784595062,0.5967371438182223
relu,"(150,45)",0.01,0.8890699695784442,0.9443524949509876,0.5532976827094473,0.9354135971895305,0.5449090256704512
relu,"(150,45)",0.001,0.9095972765464291,0.971149204472686,0.5379679144385027,0.9486500902663122,0.5900523025156581
relu,"(150,45)",0.0001,0.9121251629726206,0.977139057189301,0.5181818181818182,0.9502185933068898,0.5949671017672699
relu,"(150,45)",1e-05,0.9036071273359408,0.9791241810748239,0.4463458110516934,0.9457644612407206,0.5453038978104531
relu,"(200,60)",0.01,0.9164131537012893,0.9850844785971135,0.5008912655971479,0.952943441619217,0.6112866001585785
relu,"(200,60)",0.001,0.8967912501810807,0.9611940298507462,0.5081996434937611,0.940934156798997,0.5448350941221309
relu,"(200,60)",0.0001,0.9155367231638418,0.9801142800847249,0.5244206773618538,0.9522014884737487,0.6117391107641182
relu,"(200,60)",1e-05,0.9104157612632189,0.9821043298359687,0.47611408199643496,0.9495402359173652,0.5814489876328002
relu,"(250,75)",0.01,0.9061639866724612,0.9721393034825871,0.5074866310160427,0.9466818442853454,0.5819224220516708
relu,"(250,75)",0.001,0.9112414892075908,0.9701738830599478,0.5538324420677362,0.949367249537246,0.6036832834515432
relu,"(250,75)",0.0001,0.911277705345502,0.9771292054578592,0.5126559714795009,0.9497367964162444,0.5945536669271243
relu,"(250,75)",1e-05,0.911277705345502,0.9781242303334812,0.5065953654188948,0.9497954640869443,0.5922212672284364
relu,"(300,90)",0.01,0.908699116326235,0.9821092557016896,0.4636363636363636,0.9488476075817759,0.551445029342699
relu,"(300,90)",0.001,0.9053455019556714,0.9840796019900497,0.4295900178253119,0.9470632586735429,0.5449904768698077
relu,"(300,90)",0.0001,0.9087208460089816,0.9721491552140289,0.5251336898395722,0.948128188205039,0.5867733039514107
relu,"(300,90)",1e-05,0.9146747790815587,0.9811043790946259,0.5122994652406417,0.951783006769835,0.6058976350218326
