Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity
logistic,"(100,)",0.0001,0.8205552008229796,0.822311348781937,0.8189245395127749
logistic,"(50,)",0.0001,0.8214832699248853,0.8312240047534165,0.8119429590017825
logistic,"(300,)",0.001,0.8294530023678398,0.8351158645276294,0.8237076648841354
logistic,"(250,)",0.001,0.8360108991583969,0.840136660724896,0.8317587641117052
logistic,"(200,)",0.001,0.8380311011785989,0.8391562685680333,0.8368686868686869
logistic,"(150,)",0.001,0.8335452860474809,0.8400772430184195,0.8268865121806299
logistic,"(100,)",1e-05,0.8089020139942003,0.8231431966726084,0.7948603683897802
logistic,"(50,)",1e-05,0.8144717588527949,0.8221628045157456,0.8069221628045158
logistic,"(150,)",0.0001,0.8169905818501078,0.8233214497920379,0.8109328579916815
logistic,"(200,)",0.0001,0.821988542137796,0.8302436125965538,0.8138443256090316
logistic,"(250,)",0.0001,0.8260214081109604,0.8352941176470589,0.8167855020796196
logistic,"(300,)",0.0001,0.8219887638456558,0.8222816399286987,0.821865715983363
logistic,"(200,)",1e-05,0.8149176133592287,0.8351158645276291,0.794830659536542
logistic,"(300,)",1e-05,0.8144424934152766,0.827124183006536,0.8019310754604874
logistic,"(150,)",1e-05,0.8169453534466703,0.8321152703505645,0.8019310754604874
logistic,"(250,)",1e-05,0.8169602078732895,0.8241532976827095,0.8099524658348188

relu,"(25,25)",0.01,0.8135374819308093,0.8339869281045752,0.7929590017825312
relu,"(10,10)",0.01,0.8169839306143082,0.838443256090315,0.795632798573975
relu,"(25,25)",0.001,0.8380690132226568,0.8263517528223411,0.8499108734402853
relu,"(10,10)",0.001,0.8069359086918348,0.7915923945335711,0.8226381461675579
relu,"(10,10)",0.0001,0.7958400954230629,0.7883541295306001,0.8035353535353535
relu,"(25,25)",0.0001,0.8209720115997552,0.8153891859774212,0.8267973856209149
relu,"(50,50)",0.01,0.8165675632532524,0.8134878193701723,0.8198158051099226
relu,"(10,10)",1e-05,0.7483238885784979,0.8180629827688651,0.6780748663101605
relu,"(25,25)",1e-05,0.7788240171690567,0.785531788472965,0.7725490196078432
relu,"(75,75)",0.01,0.8245149032023483,0.8295008912655971,0.8195484254307784
relu,"(100,100)",0.01,0.8250948909640744,0.8423054070112893,0.807754010695187
relu,"(50,50)",0.001,0.8265943012211668,0.8332144979203803,0.8197860962566845
relu,"(100,100)",0.001,0.837482595932991,0.8529411764705882,0.8218954248366014
relu,"(75,75)",0.001,0.8190626635095466,0.8062982768865122,0.8317884729649437
relu,"(100,100)",0.0001,0.822004061687995,0.8311942959001781,0.8128045157456922
relu,"(50,50)",0.0001,0.8241142770993517,0.8232026143790848,0.8248366013071896
relu,"(100,100)",1e-05,0.8055546687241156,0.8271538918597742,0.7838383838383839
relu,"(50,50)",1e-05,0.81352905703213,0.8022281639928699,0.8249851455733809
relu,"(75,75)",0.0001,0.8320148366899903,0.821301247771836,0.8428104575163399
relu,"(75,75)",1e-05,0.8049589397043304,0.8044266191325015,0.8057932263814619

logistic,"(10,10)",1e-05,0.5024875621890547,1.0,0.0
logistic,"(25,25)",1e-05,0.4975124378109453,0.0,1.0
logistic,"(10,10)",0.01,0.8119930649781396,0.8044563279857396,0.8199049316696376
logistic,"(25,25)",0.01,0.8074928388361223,0.8025549613784908,0.812774806892454
logistic,"(25,25)",0.001,0.8275225920309325,0.8272133095662508,0.8277777777777778
