Pos_Threshold,Pos_Density,Neg_Threshold,Neg_Density
2.14459628848153,0.283194355996307,2.14459628848153,0.002418948211947
2.15001575191355,0.278664269457996,2.15001575191355,0.002317203636668
2.15543521534557,0.274163789032771,2.15543521534557,0.002218410839833
2.16085467877759,0.269694854949794,2.16085467877759,0.002122559085785
2.16627414220961,0.265259353792517,2.16627414220961,0.002029633041061
2.17169360564163,0.260859116749957,2.17169360564163,0.00193961299685
2.17711306907365,0.256495917933953,2.17711306907365,0.001852475095598
2.18253253250567,0.252171472765932,2.18253253250567,0.001768191560737
2.18795199593769,0.247887436436776,2.18795199593769,0.001686730928509
2.19337145936971,0.2436454024434,2.19337145936971,0.001608058280932
2.19879092280173,0.239446901205661,2.19879092280173,0.00153213547896
2.20421038623375,0.235293398767178,2.20421038623375,0.001458921394979
2.20962984966577,0.231186295583592,2.20962984966577,0.001388372143777
2.21504931309779,0.227126925401756,2.21504931309779,0.001320441311219
2.22046877652981,0.223116554233174,2.22046877652981,0.001255080179888
2.22588823996183,0.219156379424948,2.22588823996183,0.001192237950991
2.23130770339385,0.215247528831306,2.23130770339385,0.001131861961905
2.23672716682587,0.211391060088616,2.23672716682587,0.001073897898783
2.24214663025789,0.207587959996565,2.24214663025789,0.001018290003673
2.24756609368991,0.203839144008032,2.24756609368991,0.000964981275681
2.25298555712193,0.200145455829827,2.25298555712193,0.000913913665743
2.25840502055395,0.196507667136326,2.25840502055395,0.000865028264625
2.26382448398597,0.192926477397639,2.26382448398597,0.000818265483821
2.26924394741799,0.189402513823732,2.26924394741799,0.000773565229073
2.27466341085001,0.185936331425553,2.27466341085001,0.000730867066264
2.28008287428203,0.182528413193912,2.28008287428203,0.000690110379509
2.28550233771405,0.179179170396511,2.28550233771405,0.000651234521287
2.29092180114607,0.175888942993176,2.29092180114607,0.000614178954512
2.29634126457809,0.172658000168976,2.29634126457809,0.000578883386482
2.30176072801011,0.169486540984571,2.30176072801011,0.000545287894679
2.30718019144213,0.166374695142735,2.30718019144213,0.000513333044423
2.31259965487415,0.163322523869652,2.31259965487415,0.000482959998429
2.31801911830618,0.160330020909231,2.31801911830618,0.000454110618348
2.32343858173819,0.157397113628274,2.32343858173819,0.000426727558378
2.32885804517022,0.154523664230032,2.32885804517022,0.000400754351098
2.33427750860224,0.151709471073298,2.33427750860224,0.000376135485662
2.33969697203426,0.148954270093843,2.33969697203426,0.000352816478546
2.34511643546628,0.146257736324713,2.34511643546628,0.000330743937035
2.3505358988983,0.143619485511521,2.3505358988983,0.000309865615682
